Atlantic,deg,discharge (Sv/1deg lat).,,,,,,,,,,,
J,lat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
117,26.5,5.85E-06,7.45E-06,1.11E-05,3.98E-06,1.56E-06,1.79E-05,2.90E-05,3.37E-05,5.47E-05,3.73E-05,8.68E-06,4.09E-06
116,25.5,3.72E-05,2.86E-05,2.27E-05,2.27E-05,4.93E-05,8.50E-05,6.21E-05,5.66E-05,1.26E-04,1.34E-04,5.41E-05,4.21E-05
115,24.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
114,23.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
113,22.5,4.31E-04,1.87E-04,1.64E-04,1.62E-04,3.11E-04,1.06E-03,2.07E-03,1.57E-03,2.82E-03,2.33E-03,9.71E-04,6.18E-04
112,21.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
111,20.5,5.48E-04,4.36E-04,3.67E-04,3.40E-04,4.90E-04,1.06E-03,1.38E-03,1.40E-03,1.90E-03,1.65E-03,1.15E-03,6.65E-04
110,19.5,3.36E-04,2.97E-04,2.54E-04,4.43E-04,8.72E-04,8.37E-04,6.91E-04,6.12E-04,9.35E-04,7.87E-04,7.42E-04,3.78E-04
109,18.5,7.12E-03,5.78E-03,4.74E-03,4.08E-03,4.08E-03,9.62E-03,1.56E-02,1.47E-02,1.96E-02,2.06E-02,1.40E-02,1.00E-02
108,17.5,9.14E-04,7.99E-04,6.27E-04,5.76E-04,5.55E-04,1.03E-03,1.81E-03,2.65E-03,3.12E-03,1.93E-03,1.41E-03,1.31E-03
107,16.5,4.91E-04,2.84E-04,1.59E-04,7.90E-05,4.09E-05,7.79E-05,9.16E-04,1.98E-03,4.01E-03,5.28E-03,3.38E-03,1.07E-03
106,15.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
105,14.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
