Indian,deg,discharge (Sv/1deg lat).,,,,,,,,,,,
J,lat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
108,17.5,4.89E-03,4.31E-03,1.19E-02,1.64E-02,1.99E-02,3.16E-02,3.42E-02,3.40E-02,3.37E-02,2.48E-02,1.05E-02,6.67E-03
107,16.5,4.47E-04,3.51E-04,3.71E-04,2.54E-04,3.37E-04,2.15E-03,1.57E-02,2.19E-02,1.72E-02,7.96E-03,2.49E-03,8.10E-04
106,15.5,1.54E-04,1.11E-04,9.05E-05,7.09E-05,7.21E-05,7.04E-04,3.26E-03,2.95E-03,1.08E-03,5.06E-04,3.63E-04,3.22E-04
105,14.5,3.27E-05,1.70E-05,9.32E-06,4.07E-06,2.05E-05,2.93E-05,5.68E-05,1.93E-04,3.12E-04,4.83E-04,6.20E-04,2.69E-04
104,13.5,1.15E-05,6.72E-06,3.94E-06,1.46E-06,7.19E-06,1.07E-05,2.08E-05,6.88E-05,1.08E-04,1.69E-04,2.19E-04,9.49E-05
103,12.5,1.08E-05,4.33E-05,1.53E-05,5.14E-06,2.89E-06,1.76E-06,1.78E-06,3.79E-06,6.07E-06,2.50E-05,2.62E-04,4.86E-05
102,11.5,1.23E-05,3.87E-05,1.13E-05,5.67E-06,3.31E-06,1.89E-06,1.89E-06,4.25E-06,7.09E-06,2.88E-05,2.97E-04,5.53E-05
101,10.5,3.52E-04,2.25E-04,6.28E-05,4.07E-05,4.78E-05,2.50E-04,1.08E-03,1.11E-03,8.63E-04,7.10E-04,7.30E-04,3.49E-04
100,9.5,5.85E-05,4.04E-05,2.31E-05,2.07E-05,2.00E-05,1.52E-05,1.56E-05,9.47E-06,9.39E-06,4.75E-05,2.31E-04,2.01E-04
99,8.5,9.34E-05,6.46E-05,3.69E-05,3.31E-05,3.19E-05,2.43E-05,2.49E-05,1.51E-05,1.50E-05,7.59E-05,3.69E-04,3.21E-04
98,7.5,7.61E-04,4.52E-04,2.68E-04,2.80E-04,2.68E-04,2.61E-04,2.71E-04,2.64E-04,2.57E-04,4.10E-04,5.93E-04,8.44E-04
97,6.5,4.80E-04,3.93E-04,4.46E-04,6.56E-04,1.03E-03,9.37E-04,6.49E-04,5.34E-04,6.23E-04,1.08E-03,1.09E-03,7.28E-04
96,5.5,1.36E-03,7.09E-04,5.39E-04,4.28E-04,4.59E-04,3.79E-04,3.52E-04,3.71E-04,4.95E-04,6.68E-04,1.20E-03,2.17E-03
95,4.5,5.76E-04,3.62E-04,3.27E-04,3.45E-04,4.25E-04,3.45E-04,3.15E-04,3.17E-04,3.84E-04,6.00E-04,7.67E-04,7.58E-04
94,3.5,4.98E-03,3.45E-03,3.25E-03,3.29E-03,4.33E-03,3.45E-03,3.04E-03,2.82E-03,3.37E-03,5.13E-03,7.55E-03,8.56E-03
93,2.5,1.95E-04,1.61E-04,1.95E-04,2.60E-04,2.45E-04,1.63E-04,1.23E-04,1.27E-04,1.66E-04,2.35E-04,3.89E-04,3.39E-04
92,1.5,4.13E-04,2.74E-04,2.71E-04,3.46E-04,3.94E-04,2.55E-04,2.11E-04,2.11E-04,3.08E-04,3.74E-04,4.87E-04,5.94E-04
91,0.5,1.12E-04,8.31E-05,1.07E-04,2.71E-04,5.77E-04,4.86E-04,4.71E-04,7.55E-04,8.15E-04,1.23E-03,9.53E-04,3.59E-04
90,-0.5,6.76E-04,4.36E-04,4.87E-04,1.45E-03,2.36E-03,1.23E-03,7.07E-04,5.53E-04,4.67E-04,5.92E-04,1.61E-03,1.34E-03
89,-1.5,8.85E-04,6.72E-04,7.51E-04,1.58E-03,2.59E-03,1.41E-03,8.52E-04,7.51E-04,7.21E-04,8.77E-04,1.85E-03,1.60E-03
88,-2.5,9.88E-04,8.51E-04,9.52E-04,1.46E-03,2.40E-03,1.38E-03,8.79E-04,8.65E-04,9.13E-04,1.08E-03,1.82E-03,1.64E-03
87,-3.5,3.95E-04,6.29E-04,6.78E-04,2.63E-04,8.31E-05,2.69E-05,6.98E-06,2.63E-06,6.41E-08,0.00E+00,5.89E-06,2.52E-04
86,-4.5,4.32E-04,6.48E-04,6.76E-04,1.97E-04,6.65E-05,2.34E-05,6.32E-06,2.55E-06,6.48E-08,0.00E+00,6.44E-06,2.76E-04
85,-5.5,6.96E-05,7.19E-05,7.75E-05,9.37E-05,2.87E-05,7.56E-06,1.62E-06,4.16E-07,7.32E-09,0.00E+00,1.65E-06,6.03E-05
84,-6.5,4.07E-04,2.59E-04,4.11E-04,1.23E-03,1.03E-03,3.73E-04,1.88E-04,1.21E-04,1.03E-04,1.01E-04,3.30E-04,4.73E-04
83,-7.5,6.03E-03,5.69E-03,5.96E-03,5.71E-03,6.25E-03,2.90E-03,1.70E-03,1.40E-03,1.35E-03,2.24E-03,2.16E-03,3.71E-03
82,-8.5,4.91E-03,3.49E-03,2.72E-03,2.60E-03,3.44E-03,1.68E-03,9.47E-04,7.50E-04,7.27E-04,1.76E-03,1.80E-03,3.23E-03
81,-9.5,4.44E-03,3.24E-03,2.80E-03,3.04E-03,3.57E-03,1.70E-03,9.65E-04,7.60E-04,7.20E-04,1.58E-03,1.62E-03,3.32E-03
80,-10.5,8.11E-03,8.02E-03,5.47E-03,1.83E-03,9.41E-04,6.22E-04,4.46E-04,3.52E-04,2.99E-04,5.79E-04,9.72E-04,4.29E-03
79,-11.5,5.41E-03,5.90E-03,5.18E-03,2.06E-03,9.08E-04,5.73E-04,4.15E-04,3.25E-04,2.63E-04,3.69E-04,6.20E-04,4.06E-03
78,-12.5,4.11E-03,5.24E-03,5.57E-03,2.45E-03,1.02E-03,6.40E-04,4.92E-04,3.98E-04,3.10E-04,3.08E-04,5.43E-04,4.01E-03
77,-13.5,5.74E-03,8.28E-03,8.37E-03,3.43E-03,1.56E-03,9.70E-04,7.09E-04,5.51E-04,4.31E-04,4.34E-04,7.28E-04,2.15E-03
76,-14.5,9.27E-04,2.02E-03,1.68E-03,4.89E-04,1.26E-04,4.68E-05,2.48E-05,7.20E-06,2.14E-06,1.54E-06,7.16E-06,1.40E-04
75,-15.5,1.57E-03,3.09E-03,3.29E-03,2.38E-04,2.78E-05,1.18E-05,1.21E-05,3.15E-06,8.51E-07,4.78E-07,4.56E-05,2.45E-04
74,-16.5,3.71E-03,3.49E-03,3.90E-03,1.81E-03,9.73E-04,8.27E-04,7.14E-04,6.14E-04,4.97E-04,4.31E-04,9.78E-04,2.66E-03
73,-17.5,5.73E-03,6.35E-03,5.79E-03,3.27E-03,1.75E-03,1.36E-03,1.15E-03,9.37E-04,7.36E-04,7.37E-04,1.59E-03,3.89E-03
72,-18.5,5.93E-03,5.56E-03,7.78E-03,6.28E-03,4.99E-03,6.18E-03,7.40E-03,3.45E-03,3.45E-03,3.86E-03,4.94E-03,6.22E-03
71,-19.5,2.31E-02,3.15E-02,2.60E-02,1.40E-02,5.87E-03,4.58E-03,4.33E-03,4.27E-03,3.85E-03,4.26E-03,7.33E-03,1.27E-02
70,-20.5,2.36E-03,3.28E-03,3.39E-03,1.60E-03,7.56E-04,6.01E-04,6.37E-04,6.87E-04,5.65E-04,4.11E-04,5.54E-04,1.54E-03
69,-21.5,1.32E-02,1.19E-02,9.80E-03,4.44E-03,2.19E-03,1.79E-03,1.40E-03,1.16E-03,9.28E-04,8.87E-04,1.73E-03,6.87E-03
68,-22.5,3.27E-03,3.72E-03,2.78E-03,1.50E-03,9.87E-04,7.65E-04,7.58E-04,7.94E-04,5.23E-04,4.46E-04,7.55E-04,2.05E-03
67,-23.5,1.57E-04,3.94E-04,1.61E-04,1.14E-04,6.36E-05,9.39E-05,8.08E-06,1.45E-05,6.49E-07,9.08E-07,1.42E-07,7.36E-05
